exp	round_num	agentid	currname	saidbefore	heardbefore	denovo	saidsofar	heardsofar
CB2015-55	30	281	julia	1	1	0	['emma', 'emma', 'nicole', 'lisa', 'lisa', 'lisa', 'nicole', 'julia', 'nicole', 'lisa', 'lisa', 'lisa', 'lisa', 'julia', 'julia', 'lisa', 'lisa', 'julia', 'lisa', 'julia', 'lisa', 'lisa', 'julia', 'julia', 'julia', 'jane', 'julia', 'jane', 'jane', 'jane']	['lisa', 'julia', 'lisa', 'na', 'na', 'jen', 'julia', 'nicole', 'lisa', 'lisa', 'lisa', 'julia', 'julia', 'lisa', 'lisa', 'julia', 'na', 'jane', 'julia', 'lisa', 'julia', 'jane', 'lisa', 'julia', 'jane', 'julia', 'na', 'na', 'jane', 'nikki']
CB2015-55	31	281	jane	1	1	0	['emma', 'emma', 'nicole', 'lisa', 'lisa', 'lisa', 'nicole', 'julia', 'nicole', 'lisa', 'lisa', 'lisa', 'lisa', 'julia', 'julia', 'lisa', 'lisa', 'julia', 'lisa', 'julia', 'lisa', 'lisa', 'julia', 'julia', 'julia', 'jane', 'julia', 'jane', 'jane', 'jane', 'julia']	['lisa', 'julia', 'lisa', 'na', 'na', 'jen', 'julia', 'nicole', 'lisa', 'lisa', 'lisa', 'julia', 'julia', 'lisa', 'lisa', 'julia', 'na', 'jane', 'julia', 'lisa', 'julia', 'jane', 'lisa', 'julia', 'jane', 'julia', 'na', 'na', 'jane', 'nikki', 'nikki']
CB2015-55	32	281	sarah	0	1	0	['emma', 'emma', 'nicole', 'lisa', 'lisa', 'lisa', 'nicole', 'julia', 'nicole', 'lisa', 'lisa', 'lisa', 'lisa', 'julia', 'julia', 'lisa', 'lisa', 'julia', 'lisa', 'julia', 'lisa', 'lisa', 'julia', 'julia', 'julia', 'jane', 'julia', 'jane', 'jane', 'jane', 'julia', 'jane']	['lisa', 'julia', 'lisa', 'na', 'na', 'jen', 'julia', 'nicole', 'lisa', 'lisa', 'lisa', 'julia', 'julia', 'lisa', 'lisa', 'julia', 'na', 'jane', 'julia', 'lisa', 'julia', 'jane', 'lisa', 'julia', 'jane', 'julia', 'na', 'na', 'jane', 'nikki', 'nikki', 'sarah']
CB2015-55	33	281	jane	1	1	0	['emma', 'emma', 'nicole', 'lisa', 'lisa', 'lisa', 'nicole', 'julia', 'nicole', 'lisa', 'lisa', 'lisa', 'lisa', 'julia', 'julia', 'lisa', 'lisa', 'julia', 'lisa', 'julia', 'lisa', 'lisa', 'julia', 'julia', 'julia', 'jane', 'julia', 'jane', 'jane', 'jane', 'julia', 'jane', 'sarah']	['lisa', 'julia', 'lisa', 'na', 'na', 'jen', 'julia', 'nicole', 'lisa', 'lisa', 'lisa', 'julia', 'julia', 'lisa', 'lisa', 'julia', 'na', 'jane', 'julia', 'lisa', 'julia', 'jane', 'lisa', 'julia', 'jane', 'julia', 'na', 'na', 'jane', 'nikki', 'nikki', 'sarah', 'sarah']
CB2015-55	34	281	na	0	1	0	['emma', 'emma', 'nicole', 'lisa', 'lisa', 'lisa', 'nicole', 'julia', 'nicole', 'lisa', 'lisa', 'lisa', 'lisa', 'julia', 'julia', 'lisa', 'lisa', 'julia', 'lisa', 'julia', 'lisa', 'lisa', 'julia', 'julia', 'julia', 'jane', 'julia', 'jane', 'jane', 'jane', 'julia', 'jane', 'sarah', 'jane']	['lisa', 'julia', 'lisa', 'na', 'na', 'jen', 'julia', 'nicole', 'lisa', 'lisa', 'lisa', 'julia', 'julia', 'lisa', 'lisa', 'julia', 'na', 'jane', 'julia', 'lisa', 'julia', 'jane', 'lisa', 'julia', 'jane', 'julia', 'na', 'na', 'jane', 'nikki', 'nikki', 'sarah', 'sarah', 'sarah']
CB2015-55	3	284	nicole	0	1	0	['lisa', 'lisa', 'lisa']	['emma', 'sue', 'nicole']
CB2015-55	5	284	jen	0	1	0	['lisa', 'lisa', 'lisa', 'nicole', 'nicole']	['emma', 'sue', 'nicole', 'ann', 'jen']
CB2015-55	8	284	lisa	1	1	0	['lisa', 'lisa', 'lisa', 'nicole', 'nicole', 'jen', 'jen', 'jen']	['emma', 'sue', 'nicole', 'ann', 'jen', 'lisa', 'jennifer', 'lisa']
CB2015-55	4	290	sophia	0	0	1	['na', 'na', 'na', 'na']	['na', 'na', 'sandra', 'no match']
CB2015-55	5	290	na	1	1	0	['na', 'na', 'na', 'na', 'sophia']	['na', 'na', 'sandra', 'no match', 'no response']
