PRIOR_SCALAR	24_0.1	24_0.15	24_0.2	24_0.25	24_0.3	24_0.35	24_0.4	24_0.45	48_0.1	48_0.15	48_0.2	48_0.25	48_0.3	48_0.35	48_0.4	48_0.45	96_0.1	96_0.15	96_0.2	96_0.25	96_0.3	96_0.35	96_0.4	96_0.45
0.75 0.22	1000	1000	1000	NA	22	23	NA	NA	1000	1000	1000	NA	24	12	NA	NA	1000	1000	1000	NA	16	13	10	NA
0.75 0.27	1000	1000	1000	29	13	10	NA	NA	1000	1000	1000	42	17	11	NA	NA	1000	1000	1000	23	16	NA	9	NA
0.75 0.32	1000	1000	1000	12	9	NA	9	NA	1000	1000	1000	22	9	NA	NA	NA	1000	1000	1000	21	10	NA	NA	NA
0.75 0.37	1000	1000	1000	12	13	13	NA	NA	1000	1000	1000	11	NA	NA	NA	NA	1000	1000	NA	15	10	NA	NA	NA
0.75 0.42	1000	1000	NA	9	NA	NA	NA	NA	1000	1000	NA	9	NA	NA	NA	NA	1000	1000	1000	9	NA	NA	NA	NA
0.75 0.47	1000	1000	NA	NA	NA	NA	NA	NA	1000	1000	NA	11	NA	NA	NA	NA	1000	1000	NA	NA	NA	NA	NA	NA
0.75 0.52	1000	1000	1000	NA	9	NA	NA	NA	1000	1000	NA	NA	NA	NA	NA	NA	1000	1000	1000	11	NA	NA	NA	NA
0.75 0.57	1000	1000	NA	9	9	NA	NA	NA	1000	1000	NA	NA	NA	NA	NA	NA	1000	1000	NA	14	NA	NA	NA	NA
0.8 0.02	1000	1000	1000	NA	NA	NA	NA	NA	1000	1000	1000	NA	NA	NA	NA	NA	1000	1000	1000	NA	NA	NA	NA	NA
0.8 0.07	1000	1000	1000	NA	NA	NA	37	25	1000	1000	1000	NA	NA	NA	46	31	1000	1000	1000	NA	NA	NA	50	33
0.8 0.12	1000	1000	1000	NA	NA	40	19	15	1000	1000	1000	NA	NA	44	28	19	1000	1000	1000	NA	NA	34	28	20
0.8 0.17	1000	1000	1000	NA	35	27	12	12	1000	1000	1000	NA	NA	18	15	11	1000	1000	1000	NA	40	21	15	12
0.8 0.22	1000	1000	1000	NA	18	19	NA	NA	1000	1000	1000	NA	25	16	9	NA	1000	1000	1000	62	31	14	12	10
0.8 0.27	1000	1000	1000	23	14	9	NA	NA	1000	1000	1000	34	19	12	9	NA	1000	1000	1000	31	14	10	9	9
0.8 0.32	1000	1000	1000	26	15	11	NA	NA	1000	1000	1000	32	13	NA	9	NA	1000	1000	1000	29	13	9	9	NA
0.8 0.37	1000	1000	1000	29	NA	11	NA	NA	1000	1000	1000	36	11	NA	9	NA	1000	1000	1000	28	11	NA	NA	NA
0.8 0.42	1000	1000	NA	18	9	NA	NA	NA	1000	1000	NA	17	9	9	NA	NA	1000	1000	1000	16	10	NA	NA	NA
0.8 0.47	1000	1000	NA	13	NA	NA	NA	NA	1000	1000	1000	20	NA	NA	NA	NA	1000	1000	1000	21	11	NA	NA	NA
0.8 0.52	1000	1000	NA	11	NA	NA	NA	NA	1000	1000	NA	11	NA	NA	NA	NA	1000	1000	1000	9	NA	NA	NA	NA
0.8 0.57	1000	1000	NA	20	NA	NA	NA	NA	1000	1000	NA	20	NA	NA	NA	NA	1000	1000	1000	11	NA	NA	NA	NA
0.85 0.02	1000	1000	1000	NA	NA	NA	NA	NA	1000	1000	1000	NA	NA	NA	NA	NA	1000	1000	1000	NA	NA	NA	NA	NA
0.85 0.07	1000	1000	1000	NA	NA	NA	51	37	1000	1000	1000	NA	NA	NA	46	33	1000	1000	1000	NA	NA	NA	59	36
0.85 0.12	1000	1000	1000	NA	65	45	21	23	1000	1000	1000	NA	NA	34	31	21	1000	1000	1000	NA	NA	38	34	20
0.85 0.17	1000	1000	1000	NA	30	21	13	14	1000	1000	1000	NA	32	20	23	NA	1000	1000	1000	NA	50	23	19	14
0.85 0.22	1000	1000	1000	43	48	20	10	NA	1000	1000	1000	62	37	19	11	10	1000	1000	1000	61	22	16	14	11
0.85 0.27	1000	1000	1000	39	22	13	10	NA	1000	1000	1000	55	17	12	NA	NA	1000	1000	1000	40	19	15	11	NA
0.85 0.32	1000	1000	NA	26	14	14	NA	NA	1000	1000	1000	39	20	9	NA	NA	1000	1000	1000	24	10	9	9	NA
0.85 0.37	1000	1000	1000	26	9	9	NA	NA	1000	1000	1000	17	14	9	9	NA	1000	1000	1000	27	17	11	NA	NA
0.85 0.42	1000	1000	NA	17	NA	10	NA	NA	1000	1000	1000	10	12	NA	NA	NA	1000	1000	1000	15	11	NA	NA	NA
0.85 0.47	1000	1000	1000	15	9	NA	NA	NA	1000	1000	1000	14	NA	NA	NA	NA	1000	1000	1000	24	12	NA	NA	NA
0.85 0.52	1000	1000	NA	14	NA	NA	NA	NA	1000	1000	1000	28	9	NA	NA	NA	1000	1000	1000	18	12	NA	NA	NA
0.85 0.57	1000	1000	NA	10	NA	NA	NA	NA	1000	1000	1000	12	NA	NA	NA	NA	1000	1000	1000	10	NA	NA	NA	NA
0.9 0.02	1000	1000	1000	NA	NA	NA	NA	NA	1000	1000	1000	NA	NA	NA	NA	NA	1000	1000	1000	NA	NA	NA	NA	NA
0.9 0.07	1000	1000	1000	NA	NA	NA	33	40	1000	1000	1000	NA	NA	NA	56	41	1000	1000	1000	NA	NA	NA	61	41
0.9 0.12	1000	1000	1000	NA	NA	62	29	20	1000	1000	1000	NA	NA	54	29	20	1000	1000	1000	NA	NA	44	30	22
0.9 0.17	1000	1000	1000	NA	44	29	13	13	1000	1000	1000	NA	51	19	16	15	1000	1000	1000	NA	48	26	16	14
0.9 0.22	1000	1000	1000	NA	30	21	13	13	1000	1000	1000	NA	41	16	12	NA	1000	1000	1000	NA	29	17	13	11
0.9 0.27	1000	1000	1000	29	16	11	9	NA	1000	1000	1000	41	20	15	12	10	1000	1000	1000	42	18	12	13	10
0.9 0.32	1000	1000	1000	51	18	14	NA	NA	1000	1000	1000	54	14	13	NA	10	1000	1000	1000	35	19	16	11	NA
0.9 0.37	1000	1000	NA	26	14	10	NA	NA	1000	1000	1000	24	20	10	9	NA	1000	1000	1000	25	19	10	10	NA
0.9 0.42	1000	1000	1000	21	9	NA	NA	NA	1000	1000	1000	18	13	NA	NA	NA	1000	1000	1000	18	11	9	NA	NA
0.9 0.47	1000	1000	NA	21	11	NA	NA	NA	1000	1000	1000	17	NA	10	NA	NA	1000	1000	1000	23	12	9	NA	NA
0.9 0.52	1000	1000	1000	22	12	11	NA	NA	1000	1000	NA	19	16	NA	NA	NA	1000	1000	1000	18	10	NA	NA	NA
0.9 0.57	1000	1000	1000	10	14	NA	NA	NA	1000	1000	1000	12	12	NA	NA	NA	1000	1000	1000	25	NA	9	NA	NA
