NETWORK_SIZE,CONFED_PROP,PRIOR,UPDATE_SCALAR,FIRST_TIPPED
24,0.15,0.9,0.32,1000
24,0.15,0.9,0.37,1000
24,0.15,0.9,0.42,1000
24,0.15,0.9,0.47,1000
24,0.15,0.9,0.52,1000
24,0.15,0.9,0.57,1000
24,0.2,0.6,0.02,1000
24,0.2,0.6,0.07,1000
24,0.2,0.6,0.12,1000
24,0.2,0.6,0.17,1000
24,0.2,0.6,0.22,1000
24,0.2,0.6,0.27,1000
24,0.2,0.6,0.32,1000
24,0.2,0.6,0.37,1000
24,0.2,0.6,0.42,6
24,0.2,0.6,0.47,8
24,0.2,0.6,0.52,6
24,0.2,0.6,0.57,7
24,0.2,0.65,0.02,1000
24,0.2,0.65,0.07,1000
24,0.2,0.65,0.12,1000
24,0.2,0.65,0.17,1000
24,0.2,0.65,0.22,1000
24,0.2,0.65,0.27,1000
24,0.2,0.65,0.32,19
24,0.2,0.65,0.37,28
24,0.2,0.65,0.42,16
24,0.2,0.65,0.47,14
24,0.2,0.65,0.52,2
24,0.2,0.65,0.57,8
24,0.2,0.7,0.02,1000
24,0.2,0.7,0.07,1000
24,0.2,0.7,0.12,1000
24,0.2,0.7,0.17,1000
24,0.2,0.7,0.22,1000
24,0.2,0.7,0.27,1000
24,0.2,0.7,0.32,21
24,0.2,0.7,0.37,65
24,0.2,0.7,0.42,16
24,0.2,0.7,0.47,13
24,0.2,0.7,0.52,19
24,0.2,0.7,0.57,10
24,0.2,0.75,0.02,1000
24,0.2,0.75,0.07,1000
24,0.2,0.75,0.12,1000
24,0.2,0.75,0.17,1000
24,0.2,0.75,0.22,1000
24,0.2,0.75,0.27,1000
24,0.2,0.75,0.32,1000
24,0.2,0.75,0.37,1000
24,0.2,0.75,0.42,17
24,0.2,0.75,0.47,14
24,0.2,0.75,0.52,9
24,0.2,0.75,0.57,32
24,0.2,0.8,0.02,1000
24,0.2,0.8,0.07,1000
24,0.2,0.8,0.12,1000
24,0.2,0.8,0.17,1000
24,0.2,0.8,0.22,1000
24,0.2,0.8,0.27,1000
24,0.2,0.8,0.32,1000
24,0.2,0.8,0.37,1000
24,0.2,0.8,0.42,1000
24,0.2,0.8,0.47,1000
24,0.2,0.8,0.52,15
24,0.2,0.8,0.57,30
24,0.2,0.85,0.02,1000
24,0.2,0.85,0.07,1000
24,0.2,0.85,0.12,1000
24,0.2,0.85,0.17,1000
24,0.2,0.85,0.22,1000
24,0.2,0.85,0.27,1000
24,0.2,0.85,0.32,33
24,0.2,0.85,0.37,42
24,0.2,0.85,0.42,32
24,0.2,0.85,0.47,1000
24,0.2,0.85,0.52,17
24,0.2,0.85,0.57,22
24,0.2,0.9,0.02,1000
24,0.2,0.9,0.07,1000
24,0.2,0.9,0.12,1000
24,0.2,0.9,0.17,1000
24,0.2,0.9,0.22,1000
24,0.2,0.9,0.27,1000
24,0.2,0.9,0.32,49
24,0.2,0.9,0.37,1000
24,0.2,0.9,0.42,1000
24,0.2,0.9,0.47,1000
24,0.2,0.9,0.52,1000
24,0.2,0.9,0.57,37
24,0.25,0.6,0.02,1000
24,0.25,0.6,0.07,1000
24,0.25,0.6,0.12,1000
24,0.25,0.6,0.17,28
24,0.25,0.6,0.22,34
24,0.25,0.6,0.27,11
24,0.25,0.6,0.32,9
24,0.25,0.6,0.37,8
24,0.25,0.6,0.42,5
24,0.25,0.6,0.47,4
24,0.25,0.6,0.52,6
24,0.25,0.6,0.57,7
24,0.25,0.65,0.02,1000
24,0.25,0.65,0.07,1000
24,0.25,0.65,0.12,1000
24,0.25,0.65,0.17,1000
24,0.25,0.65,0.22,57
24,0.25,0.65,0.27,14
24,0.25,0.65,0.32,5
24,0.25,0.65,0.37,9
24,0.25,0.65,0.42,9
24,0.25,0.65,0.47,10
24,0.25,0.65,0.52,5
24,0.25,0.65,0.57,2
24,0.25,0.7,0.02,1000
24,0.25,0.7,0.07,1000
24,0.25,0.7,0.12,1000
24,0.25,0.7,0.17,1000
24,0.25,0.7,0.22,61
24,0.25,0.7,0.27,19
24,0.25,0.7,0.32,22
24,0.25,0.7,0.37,15
24,0.25,0.7,0.42,8
24,0.25,0.7,0.47,7
24,0.25,0.7,0.52,10
24,0.25,0.7,0.57,8
24,0.25,0.75,0.02,1000
24,0.25,0.75,0.07,1000
24,0.25,0.75,0.12,1000
24,0.25,0.75,0.17,1000
24,0.25,0.75,0.22,1000
24,0.25,0.75,0.27,48
24,0.25,0.75,0.32,37
24,0.25,0.75,0.37,18
24,0.25,0.75,0.42,18
24,0.25,0.75,0.47,9
24,0.25,0.75,0.52,8
24,0.25,0.75,0.57,4
24,0.25,0.8,0.02,1000
24,0.25,0.8,0.07,1000
24,0.25,0.8,0.12,1000
24,0.25,0.8,0.17,1000
24,0.25,0.8,0.22,1000
24,0.25,0.8,0.27,26
24,0.25,0.8,0.32,12
24,0.25,0.8,0.37,17
24,0.25,0.8,0.42,13
24,0.25,0.8,0.47,17
24,0.25,0.8,0.52,7
24,0.25,0.8,0.57,17
24,0.25,0.85,0.02,1000
24,0.25,0.85,0.07,1000
24,0.25,0.85,0.12,1000
24,0.25,0.85,0.17,1000
24,0.25,0.85,0.22,58
24,0.25,0.85,0.27,1000
24,0.25,0.85,0.32,19
24,0.25,0.85,0.37,32
24,0.25,0.85,0.42,23
24,0.25,0.85,0.47,10
24,0.25,0.85,0.52,11
24,0.25,0.85,0.57,10
24,0.25,0.9,0.02,1000
24,0.25,0.9,0.07,1000
24,0.25,0.9,0.12,1000
24,0.25,0.9,0.17,1000
24,0.25,0.9,0.22,43
24,0.25,0.9,0.27,41
24,0.25,0.9,0.32,31
24,0.25,0.9,0.37,25
24,0.25,0.9,0.42,25
24,0.25,0.9,0.47,15
24,0.25,0.9,0.52,17
24,0.25,0.9,0.57,19
24,0.3,0.6,0.02,1000
24,0.3,0.6,0.07,1000
24,0.3,0.6,0.12,22
24,0.3,0.6,0.17,8
24,0.3,0.6,0.22,10
24,0.3,0.6,0.27,8
24,0.3,0.6,0.32,3
24,0.3,0.6,0.37,3
24,0.3,0.6,0.42,2
24,0.3,0.6,0.47,4
24,0.3,0.6,0.52,2
24,0.3,0.6,0.57,2
24,0.3,0.65,0.02,1000
24,0.3,0.65,0.07,1000
24,0.3,0.65,0.12,1000
24,0.3,0.65,0.17,25
24,0.3,0.65,0.22,18
24,0.3,0.65,0.27,4
24,0.3,0.65,0.32,5
24,0.3,0.65,0.37,4
24,0.3,0.65,0.42,7
24,0.3,0.65,0.47,4
24,0.3,0.65,0.52,2
24,0.3,0.65,0.57,5
24,0.3,0.7,0.02,1000
24,0.3,0.7,0.07,1000
24,0.3,0.7,0.12,62
24,0.3,0.7,0.17,21
24,0.3,0.7,0.22,20
24,0.3,0.7,0.27,10
24,0.3,0.7,0.32,11
24,0.3,0.7,0.37,7
24,0.3,0.7,0.42,5
24,0.3,0.7,0.47,6
24,0.3,0.7,0.52,4
24,0.3,0.7,0.57,7
24,0.3,0.75,0.02,1000
24,0.3,0.75,0.07,1000
24,0.3,0.75,0.12,1000
24,0.3,0.75,0.17,50
24,0.3,0.75,0.22,14
24,0.3,0.75,0.27,19
24,0.3,0.75,0.32,9
24,0.3,0.75,0.37,11
24,0.3,0.75,0.42,10
24,0.3,0.75,0.47,4
24,0.3,0.75,0.52,7
24,0.3,0.75,0.57,5
24,0.3,0.8,0.02,1000
24,0.3,0.8,0.07,1000
24,0.3,0.8,0.12,1000
24,0.3,0.8,0.17,25
24,0.3,0.8,0.22,35
24,0.3,0.8,0.27,16
24,0.3,0.8,0.32,12
24,0.3,0.8,0.37,8
24,0.3,0.8,0.42,7
24,0.3,0.8,0.47,11
24,0.3,0.8,0.52,5
24,0.3,0.8,0.57,7
24,0.3,0.85,0.02,1000
24,0.3,0.85,0.07,1000
24,0.3,0.85,0.12,1000
24,0.3,0.85,0.17,37
24,0.3,0.85,0.22,18
24,0.3,0.85,0.27,22
24,0.3,0.85,0.32,10
24,0.3,0.85,0.37,19
24,0.3,0.85,0.42,13
24,0.3,0.85,0.47,11
24,0.3,0.85,0.52,9
24,0.3,0.85,0.57,6
24,0.3,0.9,0.02,1000
24,0.3,0.9,0.07,1000
24,0.3,0.9,0.12,1000
24,0.3,0.9,0.17,61
24,0.3,0.9,0.22,28
24,0.3,0.9,0.27,29
24,0.3,0.9,0.32,17
24,0.3,0.9,0.37,12
24,0.3,0.9,0.42,11
24,0.3,0.9,0.47,10
24,0.3,0.9,0.52,12
24,0.3,0.9,0.57,9
24,0.35,0.6,0.02,1000
24,0.35,0.6,0.07,56
24,0.35,0.6,0.12,12
24,0.35,0.6,0.17,9
24,0.35,0.6,0.22,9
24,0.35,0.6,0.27,6
24,0.35,0.6,0.32,3
24,0.35,0.6,0.37,6
24,0.35,0.6,0.42,2
24,0.35,0.6,0.47,2
24,0.35,0.6,0.52,2
24,0.35,0.6,0.57,2
24,0.35,0.65,0.02,1000
24,0.35,0.65,0.07,60
24,0.35,0.65,0.12,29
24,0.35,0.65,0.17,17
24,0.35,0.65,0.22,10
24,0.35,0.65,0.27,6
24,0.35,0.65,0.32,6
24,0.35,0.65,0.37,5
24,0.35,0.65,0.42,4
24,0.35,0.65,0.47,5
24,0.35,0.65,0.52,2
24,0.35,0.65,0.57,2
24,0.35,0.7,0.02,1000
24,0.35,0.7,0.07,1000
24,0.35,0.7,0.12,57
24,0.35,0.7,0.17,23
24,0.35,0.7,0.22,12
24,0.35,0.7,0.27,11
24,0.35,0.7,0.32,9
24,0.35,0.7,0.37,9
24,0.35,0.7,0.42,6
24,0.35,0.7,0.47,3
24,0.35,0.7,0.52,5
24,0.35,0.7,0.57,4
24,0.35,0.75,0.02,1000
24,0.35,0.75,0.07,1000
24,0.35,0.75,0.12,49
24,0.35,0.75,0.17,26
24,0.35,0.75,0.22,9
24,0.35,0.75,0.27,19
24,0.35,0.75,0.32,12
24,0.35,0.75,0.37,7
24,0.35,0.75,0.42,3
24,0.35,0.75,0.47,4
24,0.35,0.75,0.52,4
24,0.35,0.75,0.57,5
24,0.35,0.8,0.02,1000
24,0.35,0.8,0.07,1000
24,0.35,0.8,0.12,56
24,0.35,0.8,0.17,20
24,0.35,0.8,0.22,16
24,0.35,0.8,0.27,9
24,0.35,0.8,0.32,9
24,0.35,0.8,0.37,9
24,0.35,0.8,0.42,8
24,0.35,0.8,0.47,6
24,0.35,0.8,0.52,6
24,0.35,0.8,0.57,4
24,0.35,0.85,0.02,1000
24,0.35,0.85,0.07,1000
24,0.35,0.85,0.12,37
24,0.35,0.85,0.17,25
24,0.35,0.85,0.22,13
24,0.35,0.85,0.27,13
24,0.35,0.85,0.32,9
24,0.35,0.85,0.37,7
24,0.35,0.85,0.42,8
24,0.35,0.85,0.47,9
24,0.35,0.85,0.52,11
24,0.35,0.85,0.57,6
24,0.35,0.9,0.02,1000
24,0.35,0.9,0.07,1000
24,0.35,0.9,0.12,38
24,0.35,0.9,0.17,27
24,0.35,0.9,0.22,26
24,0.35,0.9,0.27,21
24,0.35,0.9,0.32,14
24,0.35,0.9,0.37,15
24,0.35,0.9,0.42,11
24,0.35,0.9,0.47,6
24,0.35,0.9,0.52,9
24,0.35,0.9,0.57,14
24,0.4,0.6,0.02,1000
24,0.4,0.6,0.07,22
24,0.4,0.6,0.12,4
24,0.4,0.6,0.17,6
24,0.4,0.6,0.22,1
24,0.4,0.6,0.27,1
24,0.4,0.6,0.32,4
24,0.4,0.6,0.37,1
24,0.4,0.6,0.42,2
