SourcePaper	Total.CB	Correct.CB	Accuracy.CB	Total.BR	Correct.BR	Accuracy.BR	Total.TP	Correct.TP	Accuracy.TP	Total.BRnonprod	Correct.BRnonprod	Accuracy.BRnonprod	M
CB2015	7439	5452	0.732894206210512	9473	5735	0.605404834793624	3060	2626	0.858169934640523	6425	3117	0.485136186770428	12
CBBB2018	7966	6315	0.792744162691439	10031	7710	0.768617286412122	5833	5189	0.889593691068061	4205	2527	0.600951248513674	12
Both	15405	11767	0.762819184450975	19504	13445	0.687011060602873	8893	7815	0.873881812854292	10630	5644	0.543043717642051	12
