SourcePaper	Total.CB	Correct.CB	Accuracy.CB	Total.BR	Correct.BR	Accuracy.BR	Total.TP	Correct.TP	Accuracy.TP	Total.BRnonprod	Correct.BRnonprod	Accuracy.BRnonprod	M
CB2015	7439	5452	0.732894206210512	9991	7095	0.710139125212691	3628	3261	0.898842337375965	6382	3849	0.603102475712943	12
CBBB2018	7966	6315	0.792744162691439	10156	8446	0.831626624655376	6030	5584	0.926036484245439	4134	2869	0.694000967585873	12
Both	15405	11767	0.762819184450975	20147	15541	0.770882874934034	9658	8845	0.912439410810702	10516	6718	0.648551721649408	12
