instance_id	N	CM	flip	max_flip	flip_round	round_confed_activate	last_empirical_round
1165	20	0.19	FALSE	0.2222222222222222	9	11	42
1191	18	0.29	TRUE	1.0	18	14	41
151	20	0.32	TRUE	1.0	35	12	49
154	30	0.19	FALSE	0.13636363636363635	7	21	65
156	29	0.26	FALSE	0.23809523809523808	20	20	62
158	30	0.32	TRUE	0.8695652173913043	47	14	60
160	26	0.34	TRUE	1.0	28	13	51
166	20	0.25	FALSE	0.2	14	24	61
168	29	0.3	TRUE	0.7272727272727273	58	19	75
181	26	0.22	FALSE	0.19047619047619047	20	20	71
